Code,Category,ShortDescription,LongDescription,IsCommon,Severity,SearchTerms
A00.0,Infectioase,Holera cauzata de Vibrio cholerae,Holera cauzata de Vibrio cholerae 01 biovar cholerae,0,Critical,holera vibrio
A00.1,Infectioase,Holera cauzata de Vibrio eltor,Holera cauzata de Vibrio cholerae 01 biovar eltor,0,Critical,holera eltor
A00.9,Infectioase,Holera nespecificata,Holera nespecificata,0,Critical,holera
A01.0,Infectioase,Febra tifoida,Febra tifoida,0,Severe,tifos tifoida salmonella typhi
A01.1,Infectioase,Febra paratifoida A,Febra paratifoida A,0,Severe,paratifoida
A01.2,Infectioase,Febra paratifoida B,Febra paratifoida B,0,Severe,paratifoida
A01.3,Infectioase,Febra paratifoida C,Febra paratifoida C,0,Severe,paratifoida
A01.4,Infectioase,Febra paratifoida nespecificata,Febra paratifoida nespecificata,0,Severe,paratifoida
A02.0,Infectioase,Enterita cu Salmonella,Enterita cu Salmonella,1,Moderate,salmonela enterita
A02.1,Infectioase,Septicemie cu Salmonella,Septicemie cu Salmonella,0,Severe,salmonela sepsis
A02.2,Infectioase,Infectii localizate cu Salmonella,Infectii localizate cu Salmonella,0,Moderate,salmonela
A02.8,Infectioase,Alte infectii cu Salmonella,Alte infectii specificate cu Salmonella,0,Moderate,salmonela
A02.9,Infectioase,Infectie cu Salmonella nespecificata,Infectie cu Salmonella nespecificata,1,Moderate,salmonela
A03.0,Infectioase,Shigeloza cu Shigella dysenteriae,Shigeloza cu Shigella dysenteriae,0,Moderate,dizenterie shigella
A03.9,Infectioase,Shigeloza nespecificata,Shigeloza nespecificata,0,Moderate,dizenterie shigella
A04.0,Infectioase,Infectie enteropatogena cu E. coli,Infectie enteropatogena cu Escherichia coli,1,Moderate,ecoli diaree
A04.5,Infectioase,Enterita cu Campylobacter,Enterita cu Campylobacter,1,Moderate,campylobacter diaree
A04.7,Infectioase,Enterocolita cu Clostridium difficile,Enterocolita cu Clostridium difficile,1,Moderate,clostridium colita
A04.9,Infectioase,Infectie intestinala bacteriana nespecificata,Infectie intestinala bacteriana nespecificata,1,Moderate,infectie intestinala
A05.0,Infectioase,Intoxicatie stafilococica alimentara,Intoxicatie alimentara stafilococica,1,Moderate,toxiinfectie stafilococ
A05.9,Infectioase,Intoxicatie alimentara bacteriana nespecificata,Intoxicatie alimentara bacteriana nespecificata,1,Moderate,toxiinfectie alimentara
A06.0,Infectioase,Dizenterie amibiana acuta,Dizenterie amibiana acuta,0,Moderate,dizenterie amiba
A06.9,Infectioase,Amibiaza nespecificata,Amibiaza nespecificata,0,Moderate,amiba
A07.1,Infectioase,Giardiaza,Giardiaza (lambliaza),1,Mild,giardia lamblia parazit
A08.0,Infectioase,Enterita cu rotavirus,Enterita cu rotavirus,1,Mild,rotavirus diaree
A08.1,Infectioase,Gastroenteropatie acuta cu norovirus,Gastroenteropatie acuta cu agentul Norwalk,1,Mild,norovirus varsaturi
A08.4,Infectioase,Infectie intestinala virala nespecificata,Infectie intestinala virala nespecificata,1,Mild,virus intestinal
A09.0,Infectioase,Gastroenterita infectioasa,Gastroenterita si colita de origine infectioasa,1,Mild,gastroenterita diaree varsaturi
A09.9,Infectioase,Gastroenterita nespecificata,Gastroenterita si colita de origine nespecificata,1,Mild,gastroenterita
A15.0,Infectioase,Tuberculoza pulmonara confirmata,Tuberculoza pulmonara confirmata bacteriologic si histologic,0,Severe,tbc tuberculoza plamani
A15.3,Infectioase,Tuberculoza pulmonara confirmata prin alte metode,Tuberculoza pulmonara confirmata prin alte metode,0,Severe,tbc tuberculoza
A16.0,Infectioase,Tuberculoza pulmonara cu examen negativ,Tuberculoza pulmonara cu examen bacteriologic si histologic negativ,0,Severe,tbc tuberculoza
A16.2,Infectioase,Tuberculoza pulmonara fara confirmare,Tuberculoza pulmonara fara mentiunea confirmarii,0,Severe,tbc tuberculoza
A37.0,Infectioase,Tuse convulsiva cu Bordetella pertussis,Tuse convulsiva cu Bordetella pertussis,0,Moderate,pertussis tuse convulsiva
A37.9,Infectioase,Tuse convulsiva nespecificata,Tuse convulsiva nespecificata,0,Moderate,pertussis tuse convulsiva
A38,Infectioase,Scarlatina,Scarlatina,0,Moderate,scarlatina streptococ
A39.0,Infectioase,Meningita meningococica,Meningita meningococica,0,Critical,meningita meningococ
A39.2,Infectioase,Meningococemie acuta,Meningococemie acuta,0,Critical,meningococ sepsis
A39.9,Infectioase,Infectie meningococica nespecificata,Infectie meningococica nespecificata,0,Severe,meningococ
A40.0,Infectioase,Septicemie streptococica grupa A,Septicemie cu Streptococ grupa A,0,Critical,sepsis streptococ
A40.3,Infectioase,Septicemie cu Streptococcus pneumoniae,Septicemie cu Streptococcus pneumoniae,0,Critical,sepsis pneumococ
A41.0,Infectioase,Septicemie cu Staphylococcus aureus,Septicemie cu Staphylococcus aureus,0,Critical,sepsis stafilococ mrsa
A41.5,Infectioase,Septicemie cu alti germeni gram-negativi,Septicemie cu alti germeni gram-negativi,0,Critical,sepsis gram negativ
A41.9,Infectioase,Septicemie nespecificata,Septicemie nespecificata,1,Critical,sepsis septicemie
A46,Infectioase,Erizipel,Erizipel,1,Moderate,erizipel streptococ piele
A49.0,Infectioase,Infectie stafilococica nespecificata,Infectie stafilococica de localizare nespecificata,1,Moderate,stafilococ infectie
A49.1,Infectioase,Infectie streptococica nespecificata,Infectie streptococica de localizare nespecificata,1,Moderate,streptococ infectie
A49.9,Infectioase,Infectie bacteriana nespecificata,Infectie bacteriana nespecificata,1,Moderate,bacterie infectie
A60.0,Infectioase,Infectie herpetica a organelor genitale,Infectie herpetica a organelor genitale si tractului urogenital,0,Mild,herpes genital
A63.0,Infectioase,Veruci anogenitale,Veruci anogenitale (condilom acuminat),1,Mild,condilom hpv veruci
A69.2,Infectioase,Boala Lyme,Boala Lyme,0,Moderate,lyme borrelia capusa
B00.0,Infectioase,Eczema herpetica,Eczema herpetica,0,Moderate,herpes eczema
B00.1,Infectioase,Dermatita veziculoasa herpetica,Dermatita veziculoasa herpetica,1,Mild,herpes piele
B00.2,Infectioase,Gingivostomatita herpetica,Gingivostomatita si faringoamigdalita herpetica,1,Mild,herpes gura stomatita
